"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @jeremycorbyn: I am proud that on austerity, corporate power, inequality and the climate emergency we have won the arguments and rewritt…",FALSE,0,NA,2019-12-15 08:02:22,FALSE,NA,"1206122312950530049",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","CyrilBachInvest",3773,TRUE,FALSE,NA,NA
"RT @robbystarbuck: This is what climate protestors in the Netherlands are doing. I’m convinced these people were drama kids in school but s…",FALSE,0,NA,2019-12-15 08:02:22,FALSE,NA,"1206122312132464641",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Sputtter",815,TRUE,FALSE,NA,NA
"RT @DanRather: It’s worth noting that most people who echo a world where facts and expertise don’t matter in politics or the climate crisis…",FALSE,0,NA,2019-12-15 08:02:20,FALSE,NA,"1206122304448712705",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BeckyGallaghe10",6253,TRUE,FALSE,NA,NA
"RT UNFCCC: RT PEspinosaC: Thanks to the countries that pledged close to USD 90 million to the adaptationfund at… https://t.co/F8cdEBvbGE",FALSE,0,NA,2019-12-15 08:02:20,TRUE,NA,"1206122304276746241",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","MrBMcGrath",0,FALSE,FALSE,NA,NA
"RT UNFCCC: At #COP25 in Madrid, the UN together with high-level climate champions plus regions, cities, businesses… https://t.co/g9hy36av9y",FALSE,0,NA,2019-12-15 08:02:19,TRUE,NA,"1206122299923058689",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","MrBMcGrath",0,FALSE,FALSE,NA,NA
"Climate change has made the world's deadliest lake way more dangerous     - CNET https://t.co/ynoycETpPG",FALSE,0,NA,2019-12-15 08:02:17,FALSE,NA,"1206122292356505600",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","DavidPapp",0,FALSE,FALSE,NA,NA
"RT @TheDemCoalition: The @FLOTUS birther Melania Trump was furious when her 13-year-old son Barron was mentioned during an impeachment inqu…",FALSE,0,NA,2019-12-15 08:02:17,FALSE,NA,"1206122290171273218",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jam2478",2369,TRUE,FALSE,NA,NA
"RT @ClimateBen: A global crop failure catastrophe before 2029 looks extremely likely.

'heat waves and their associated droughts are virtua…",FALSE,0,NA,2019-12-15 08:02:16,FALSE,NA,"1206122285683400704",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Cythemadim",510,TRUE,FALSE,NA,NA
"Climate change: Call for 'flexibility' to reach consensus at talks https://t.co/KuRjoUYElh",FALSE,0,NA,2019-12-15 08:02:16,FALSE,NA,"1206122285536600064",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","helenyg",0,FALSE,FALSE,NA,NA
"RT @narakxm: Today, I asked @PeteButtigieg to change his climate plan because his call to end climate pollution by 2050 IS NOT GOOD ENOUGH.…",FALSE,0,NA,2019-12-15 08:02:15,FALSE,NA,"1206122284492046336",NA,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","GarrettCRW",51,TRUE,FALSE,NA,NA
"RT @RobertCooper58: Melania Trump was furious when her 13-year-old son Barron was mentioned during an impeachment inquiry hearing, but she…",FALSE,0,NA,2019-12-15 08:02:15,FALSE,NA,"1206122283066150913",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ProgressWeekly",1278,TRUE,FALSE,NA,NA
"RT @KlatuBaradaNiko: This world famous waterfall is running drier than usual — and the climate crisis might be to blame https://t.co/MiRGFL…",FALSE,0,NA,2019-12-15 08:02:14,FALSE,NA,"1206122276795629568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Clesion",17,TRUE,FALSE,NA,NA
"@MikeHudema Indeed - the link between climate change and food security has been proven and will have devastating an… https://t.co/FBD8jTOPTx",FALSE,0,"MikeHudema",2019-12-15 08:02:13,TRUE,"1205825390108905475","1206122275788984320","15088481","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JaclynRSA",0,FALSE,FALSE,NA,NA
